Metric,Biased_Mean,Biased_Std,Unbiased_Mean,Unbiased_Std,Inflation_Delta
Accuracy,0.8571428571428571,0.20203050891044216,0.7714285714285715,0.19166296949998196,0.08571428571428563
Precision,0.8766666666666666,0.19635568633364187,0.7271428571428571,0.3001870165379562,0.1495238095238095
Sensitivity_Recall,0.8416666666666666,0.2212653007891959,0.7416666666666666,0.21327473153449544,0.09999999999999998
F1_Score,0.8366666666666667,0.2274252013788758,0.7171717171717172,0.2603710474275834,0.11949494949494943
